                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1144,                 3.5808,                 2.8056,                0.01095,                0.41818,                0.01723,                0.00419,                 3.0804,                 3.2584,                  2.799,                0.00034,                0.00034,                0.00034
                      2,                 3.1298,                 3.3426,                 2.7288,                0.01405,                0.53636,                 0.0227,                0.00622,                 3.0171,                 3.2589,                  2.775,               0.000469,               0.000469,               0.000469
                      3,                 2.8947,                 3.4058,                 2.5737,                0.01524,                0.58182,                0.02146,                0.00584,                 2.9013,                 3.2256,                 2.7664,              0.0003604,              0.0003604,              0.0003604
