                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.6901,                 3.1382,                 2.3062,                0.01925,                0.10638,                0.01165,                0.00272,                 3.4146,                 3.4459,                 2.1844,              0.0006932,              0.0006932,              0.0006932
                     36,                 2.7563,                 3.1795,                 2.3091,                0.02544,                0.11702,                0.00983,                 0.0023,                 3.4452,                 3.4983,                 2.2021,              0.0006536,              0.0006536,              0.0006536
                     37,                 2.6149,                 3.1279,                 2.3008,                0.03127,                0.08511,                0.02124,                 0.0037,                 3.4617,                 3.6874,                 2.2125,               0.000614,               0.000614,               0.000614
                     38,                 2.6651,                 3.0724,                 2.2855,                0.02897,                0.12766,                0.01307,                0.00271,                 3.3628,                 3.7968,                 2.1915,              0.0005744,              0.0005744,              0.0005744
                     39,                 2.7061,                 3.1418,                 2.2833,                0.03982,                0.05319,                0.01413,                0.00303,                  3.302,                 3.5135,                 2.1861,              0.0005348,              0.0005348,              0.0005348
                     40,                 2.7009,                 3.1092,                 2.3391,                0.02424,                0.13662,                0.01004,                 0.0022,                 3.3932,                 3.9098,                 2.1895,              0.0004952,              0.0004952,              0.0004952
                     41,                 3.2125,                 3.2827,                 2.2742,                0.02848,                0.17021,                0.01369,                0.00289,                 3.4183,                 3.4174,                 2.2058,              0.0004556,              0.0004556,              0.0004556
                     42,                 3.2114,                 3.0761,                 2.2355,                0.02327,                0.19149,                0.01101,                0.00261,                 3.4217,                 3.9675,                 2.1877,               0.000416,               0.000416,               0.000416
                     43,                 3.1146,                 2.9728,                 2.2146,                0.03036,                0.18085,                0.01258,                0.00259,                 3.3496,                 3.8383,                  2.197,              0.0003764,              0.0003764,              0.0003764
                     44,                 3.1891,                  2.942,                 2.1838,                0.02639,                0.10638,                0.01056,                0.00238,                 3.3994,                 4.1174,                 2.1907,              0.0003368,              0.0003368,              0.0003368
                     45,                 3.1603,                 2.9192,                 2.1775,                0.02846,                 0.1383,                0.02525,                 0.0038,                 3.3752,                 4.3086,                 2.1759,              0.0002972,              0.0002972,              0.0002972
                     46,                 3.1365,                 2.9313,                 2.1059,                0.03376,                0.08511,                 0.0131,                0.00276,                 3.3237,                 3.9185,                 2.1613,              0.0002576,              0.0002576,              0.0002576
                     47,                 3.0995,                  2.895,                 2.1514,                 0.0305,                0.11702,                0.01288,                0.00292,                 3.3293,                 3.7264,                 2.1944,               0.000218,               0.000218,               0.000218
